epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.0171,1.38848,4.50476,1.48921,0.02563,0.10526,0.00844,0.00154,1.0552,6.62128,1.12732,0,0,0
2,1.5795,1.36833,5.4683,1.52637,0.01457,0.10526,0.00766,0.00129,1.04676,6.62269,1.12104,1.9901e-05,1.9901e-05,1.9901e-05
3,2.15069,1.39374,4.88908,1.5059,0.0136,0.05263,0.00747,0.00122,1.03219,6.58962,1.11399,3.9604e-05,3.9604e-05,3.9604e-05
4,2.70957,1.49513,5.26802,1.56038,0.01315,0.05263,0.00673,0.0011,1.03193,6.52778,1.10777,5.9109e-05,5.9109e-05,5.9109e-05
5,3.25322,1.46776,5.02213,1.56129,0.01316,0.05263,0.00531,0.00095,1.03376,6.45994,1.10546,7.8416e-05,7.8416e-05,7.8416e-05
6,3.79217,1.27448,5.8297,1.5185,0.01297,0.05263,0.0053,0.00084,1.03054,6.40233,1.10396,9.7525e-05,9.7525e-05,9.7525e-05
7,4.36122,1.46219,5.14444,1.56491,0.01223,0.05263,0.00486,0.00064,1.01663,6.36841,1.10091,0.000116436,0.000116436,0.000116436
8,4.95738,1.38155,5.41364,1.51799,0.00452,0.10526,0.00177,0.00024,1.00602,6.32297,1.09403,0.000135149,0.000135149,0.000135149
9,5.60766,1.47608,4.94014,1.5589,0.31512,0.21843,0.26797,0.15187,1.09466,5.22375,1.35416,0.000153664,0.000153664,0.000153664
10,6.46501,1.13534,2.98137,1.39564,0.83872,0.42105,0.63501,0.39181,1.0586,3.78017,1.24597,0.000171981,0.000171981,0.000171981
11,7.31209,0.85314,1.99929,1.16295,0.9438,0.94737,0.98497,0.76333,0.8315,2.60454,1.02367,0.0001901,0.0001901,0.0001901
12,8.1386,0.7676,1.78467,1.04937,0.94566,1,0.995,0.766,0.81886,2.77741,1.02935,0.000208021,0.000208021,0.000208021
13,8.95845,0.75377,1.3148,0.95508,0.94414,1,0.9875,0.78287,0.80818,2.61002,1.02656,0.000225744,0.000225744,0.000225744
14,9.75715,0.7283,1.56517,0.93499,0.94529,1,0.9845,0.72202,0.90262,2.62711,1.06456,0.000243269,0.000243269,0.000243269
15,10.6636,0.69211,1.53064,0.93073,0.94708,1,0.9845,0.71412,1.01649,2.42104,1.15693,0.000260596,0.000260596,0.000260596
16,11.4079,0.74707,1.3599,0.95165,0.94198,1,0.974,0.71639,0.95161,2.41051,1.13321,0.000277725,0.000277725,0.000277725
17,12.1682,0.75645,1.66038,0.90863,0.94962,0.99249,0.974,0.74581,0.96449,2.43586,1.17149,0.000294656,0.000294656,0.000294656
18,12.9009,0.71274,1.24442,0.92443,0.8734,0.94737,0.95521,0.71348,0.99691,2.69894,1.17034,0.000311389,0.000311389,0.000311389
