epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.95391,1.23266,5.41255,1.46564,0.00308,0.14658,0.00197,0.0006,0.81857,5.64606,1.01861,4e-05,4e-05,4e-05
2,5.57721,1.3366,5.34999,1.5106,0.0032,0.21739,0.00179,0.00058,0.81625,5.61078,1.02379,9.9505e-05,9.9505e-05,9.9505e-05
3,8.29577,1.28155,5.9955,1.4969,0.11771,0.01739,0.0197,0.00897,0.63325,3.84289,0.99944,0.000158416,0.000158416,0.000158416
4,11.1148,0.87015,3.49713,1.25146,0.93655,0.95652,0.97273,0.77775,0.63832,2.33594,1.0324,0.000216733,0.000216733,0.000216733
5,14.0144,0.62528,1.74235,0.97109,0.98925,0.92174,0.93543,0.83633,0.53163,1.32441,0.90541,0.000274456,0.000274456,0.000274456
6,16.8414,0.60008,1.15013,0.89676,0.99045,0.90164,0.92533,0.82122,0.46749,1.34711,0.88005,0.000331585,0.000331585,0.000331585
7,19.6033,0.49582,0.93995,0.86147,0.99038,0.89561,0.94341,0.80262,0.56879,1.89575,0.92804,0.00038812,0.00038812,0.00038812
8,22.3063,0.52492,0.76767,0.89015,0.25855,0.86087,0.31206,0.27666,0.48971,3.41461,0.82259,0.000444061,0.000444061,0.000444061
9,25.0495,0.49555,0.7005,0.88005,0.12167,0.87826,0.1171,0.10051,0.55306,5.21691,0.87368,0.000499408,0.000499408,0.000499408
10,27.8834,0.54069,0.64395,0.88033,0.27808,0.85217,0.27722,0.23874,0.60194,3.0755,0.9109,0.000554161,0.000554161,0.000554161
11,30.5653,0.51287,0.50667,0.84333,0.62179,0.89565,0.69163,0.54431,0.61291,2.15291,0.93788,0.00060832,0.00060832,0.00060832
12,33.2364,0.53399,0.48444,0.8839,0.98176,0.94783,0.94861,0.79287,0.52541,1.61247,0.9052,0.000661885,0.000661885,0.000661885
13,35.6762,0.55536,0.48617,0.879,0.95489,0.9204,0.9382,0.80649,0.60094,1.45825,0.88996,0.000714856,0.000714856,0.000714856
14,38.4098,0.59302,0.48008,0.87051,0.93864,0.85217,0.91148,0.7473,0.57674,1.46428,0.86942,0.000767233,0.000767233,0.000767233
15,41.2563,0.49068,0.49839,0.86466,0.79706,0.35652,0.46689,0.40978,0.57747,2.54473,0.86398,0.000819016,0.000819016,0.000819016
16,43.9601,0.50444,0.46652,0.8936,0.91564,0.66087,0.78004,0.6597,0.73419,2.29949,0.93548,0.000870205,0.000870205,0.000870205
17,46.4596,0.49267,0.43832,0.85481,0.68742,0.53913,0.68595,0.59036,0.65781,2.29879,0.91491,0.0009208,0.0009208,0.0009208
18,49.0722,0.5211,0.47267,0.85647,0.69062,0.5913,0.65556,0.51573,0.73349,2.41825,0.97228,0.000970801,0.000970801,0.000970801
19,51.6698,0.54301,0.43335,0.88347,0.89716,0.53913,0.58706,0.50721,0.72874,2.21942,0.96948,0.00102021,0.00102021,0.00102021
20,54.4414,0.54065,0.44195,0.88511,0.00543,0.22609,0.00318,0.00199,2.25729,45.5155,3.2541,0.00106902,0.00106902,0.00106902
21,57.0401,0.48914,0.40454,0.83078,0.01304,0.33043,0.01198,0.00746,1.65604,46.4496,1.82003,0.00111724,0.00111724,0.00111724
22,59.6177,0.54377,0.47021,0.87787,0.06478,0.2,0.04566,0.02888,2.13827,3.32814,2.03031,0.00116486,0.00116486,0.00116486
23,62.1271,0.59899,0.47474,0.92368,0.00035,0.0087,0.00017,2e-05,3.19358,13.9279,3.61918,0.0012119,0.0012119,0.0012119
24,64.5681,0.47831,0.39254,0.85405,0.00017,0.0087,9e-05,1e-05,3.23221,84.396,4.70778,0.00125833,0.00125833,0.00125833
25,66.8796,0.46578,0.37502,0.85961,0.00047,0.01739,0.00024,0.00013,3.45371,22.5451,5.36534,0.00130418,0.00130418,0.00130418
26,69.4317,0.4945,0.37604,0.85184,0.00032,0.03478,0.00017,3e-05,3.31314,27.7412,4.86073,0.00134943,0.00134943,0.00134943
27,71.9025,0.51127,0.42143,0.84794,0.41158,0.51304,0.48289,0.17536,2.06148,18.1523,2.04036,0.00139408,0.00139408,0.00139408
28,74.5735,0.47155,0.38316,0.84298,0.28729,0.72174,0.38545,0.29583,0.92719,14.0436,1.1473,0.00143814,0.00143814,0.00143814
29,77.1533,0.47439,0.39544,0.8489,0.88761,0.89281,0.94542,0.77011,0.66874,1.25624,0.88346,0.00148161,0.00148161,0.00148161
30,79.6878,0.48212,0.39816,0.86454,0.89817,0.92174,0.94672,0.79665,0.58217,0.99616,0.86102,0.00152448,0.00152448,0.00152448
31,82.0146,0.4578,0.40796,0.83932,0.89006,0.86957,0.90947,0.68675,0.88382,1.19944,0.99443,0.00156676,0.00156676,0.00156676
32,84.3709,0.47344,0.40407,0.84376,0.84271,0.83478,0.88864,0.58739,1.11259,1.22217,1.09965,0.00160845,0.00160845,0.00160845
33,86.8595,0.51066,0.38033,0.88755,0.9674,0.88696,0.94093,0.76009,0.63778,0.83415,0.90342,0.00164954,0.00164954,0.00164954
34,89.4235,0.54092,0.42196,0.85558,0.63898,0.70799,0.77346,0.55505,0.88131,2.14026,0.99373,0.0016733,0.0016733,0.0016733
35,91.9493,0.54558,0.43044,0.87279,0.57343,0.42609,0.41904,0.28971,1.66558,4.77726,1.53634,0.0016634,0.0016634,0.0016634
36,94.5574,0.53256,0.44785,0.85475,0.35723,0.61377,0.31434,0.22283,0.96095,1.79508,1.16418,0.0016535,0.0016535,0.0016535
37,97.0747,0.56713,0.50511,0.87394,0.37701,0.52174,0.43118,0.24597,1.40509,2.01304,1.35934,0.0016436,0.0016436,0.0016436
38,99.4819,0.50513,0.40404,0.86183,0.00198,0.21739,0.00132,0.00025,3.64127,4.04497,9.23857,0.0016337,0.0016337,0.0016337
39,102.12,0.51265,0.39653,0.86383,0.00111,0.12174,0.00062,8e-05,4.00658,5.93874,35.0966,0.0016238,0.0016238,0.0016238
40,104.733,0.48422,0.3625,0.8509,0.00056,0.06087,0.0003,3e-05,4.78158,inf,50.4219,0.0016139,0.0016139,0.0016139
41,107.264,0.52072,0.4043,0.86702,0,0,0,0,4.82588,inf,33.8296,0.001604,0.001604,0.001604
42,109.641,0.50186,0.40731,0.85115,0.00283,0.04348,0.00123,0.00037,nan,nan,nan,0.0015941,0.0015941,0.0015941
43,112.132,0.48712,0.36339,0.84468,0.40952,0.15681,0.16072,0.06914,2.61948,3.66739,3.55004,0.0015842,0.0015842,0.0015842
44,114.612,0.48852,0.38412,0.85338,0.89361,0.83478,0.91408,0.7899,0.61157,2.56441,0.87585,0.0015743,0.0015743,0.0015743
45,116.921,0.46989,0.41952,0.86224,0.9679,0.93043,0.94595,0.79674,0.54649,1.51151,0.8679,0.0015644,0.0015644,0.0015644
46,119.263,0.46426,0.38898,0.84655,0.9435,0.94783,0.96514,0.80652,0.63021,0.7106,0.9071,0.0015545,0.0015545,0.0015545
