epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08474,1.23266,5.41255,1.46564,0.00308,0.14658,0.00197,0.0006,0.81857,5.64606,1.01861,4e-05,4e-05,4e-05
2,5.82662,1.3366,5.34999,1.5106,0.0032,0.21739,0.00179,0.00058,0.81625,5.61078,1.02379,9.9505e-05,9.9505e-05,9.9505e-05
3,8.5989,1.28155,5.9955,1.4969,0.11771,0.01739,0.0197,0.00897,0.63325,3.84289,0.99944,0.000158416,0.000158416,0.000158416
4,11.586,0.87015,3.49713,1.25146,0.93655,0.95652,0.97273,0.77775,0.63832,2.33594,1.0324,0.000216733,0.000216733,0.000216733
5,14.3711,0.62528,1.74235,0.97109,0.98925,0.92174,0.93543,0.83633,0.53163,1.32441,0.90541,0.000274456,0.000274456,0.000274456
6,17.1266,0.60008,1.15013,0.89676,0.99045,0.90164,0.92533,0.82122,0.46749,1.34711,0.88005,0.000331585,0.000331585,0.000331585
7,19.8171,0.49582,0.93995,0.86147,0.99038,0.89561,0.94341,0.80262,0.56879,1.89575,0.92804,0.00038812,0.00038812,0.00038812
8,22.6268,0.52492,0.76767,0.89015,0.25855,0.86087,0.31206,0.27666,0.48971,3.41461,0.82259,0.000444061,0.000444061,0.000444061
9,25.3143,0.49555,0.7005,0.88005,0.12167,0.87826,0.1171,0.10051,0.55306,5.21691,0.87368,0.000499408,0.000499408,0.000499408
10,27.9947,0.54069,0.64395,0.88033,0.27808,0.85217,0.27722,0.23874,0.60194,3.0755,0.9109,0.000554161,0.000554161,0.000554161
11,30.6132,0.51287,0.50667,0.84333,0.62179,0.89565,0.69163,0.54431,0.61291,2.15291,0.93788,0.00060832,0.00060832,0.00060832
12,33.2798,0.53399,0.48444,0.8839,0.98176,0.94783,0.94861,0.79287,0.52541,1.61247,0.9052,0.000661885,0.000661885,0.000661885
13,35.8356,0.55536,0.48617,0.879,0.95489,0.9204,0.9382,0.80649,0.60094,1.45825,0.88996,0.000714856,0.000714856,0.000714856
14,38.5147,0.59302,0.48008,0.87051,0.93864,0.85217,0.91148,0.7473,0.57674,1.46428,0.86942,0.000767233,0.000767233,0.000767233
15,41.1966,0.49068,0.49839,0.86466,0.79706,0.35652,0.46689,0.40978,0.57747,2.54473,0.86398,0.000819016,0.000819016,0.000819016
16,43.8725,0.50444,0.46652,0.8936,0.91564,0.66087,0.78004,0.6597,0.73419,2.29949,0.93548,0.000870205,0.000870205,0.000870205
17,46.6972,0.49267,0.43832,0.85481,0.68742,0.53913,0.68595,0.59036,0.65781,2.29879,0.91491,0.0009208,0.0009208,0.0009208
18,49.321,0.5211,0.47267,0.85647,0.69062,0.5913,0.65556,0.51573,0.73349,2.41825,0.97228,0.000970801,0.000970801,0.000970801
19,51.9935,0.54301,0.43335,0.88347,0.89716,0.53913,0.58706,0.50721,0.72874,2.21942,0.96948,0.00102021,0.00102021,0.00102021
20,54.7818,0.54065,0.44195,0.88511,0.00543,0.22609,0.00318,0.00199,2.25729,45.5155,3.2541,0.00106902,0.00106902,0.00106902
21,57.3667,0.48914,0.40454,0.83078,0.01304,0.33043,0.01198,0.00746,1.65604,46.4496,1.82003,0.00111724,0.00111724,0.00111724
22,59.9652,0.54377,0.47021,0.87787,0.06478,0.2,0.04566,0.02888,2.13827,3.32814,2.03031,0.00116486,0.00116486,0.00116486
23,62.476,0.59899,0.47474,0.92368,0.00035,0.0087,0.00017,2e-05,3.19358,13.9279,3.61918,0.0012119,0.0012119,0.0012119
24,64.9979,0.47831,0.39254,0.85405,0.00017,0.0087,9e-05,1e-05,3.23221,84.396,4.70778,0.00125833,0.00125833,0.00125833
25,67.6156,0.46578,0.37502,0.85961,0.00047,0.01739,0.00024,0.00013,3.45371,22.5451,5.36534,0.00130418,0.00130418,0.00130418
26,70.266,0.4945,0.37604,0.85184,0.00032,0.03478,0.00017,3e-05,3.31314,27.7412,4.86073,0.00134943,0.00134943,0.00134943
