epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01962,1.39083,3.44907,1.38939,0.00704,1,0.01096,0.00324,1.19337,3.44544,1.14729,0,0,0
2,13.5085,1.3187,3.42275,1.33383,0.00704,1,0.01591,0.00452,1.08823,3.40484,1.09735,1.901e-05,1.901e-05,1.901e-05
3,19.9234,1.20339,3.3457,1.25108,0.00704,1,0.01657,0.00554,0.93075,3.35314,1.03065,3.604e-05,3.604e-05,3.604e-05
4,26.4605,1.01482,3.19412,1.12663,0.00704,1,0.02881,0.00791,0.92893,3.3232,1.02268,5.109e-05,5.109e-05,5.109e-05
5,33.0837,0.87316,3.04228,1.04168,0.00704,1,0.0403,0.0179,0.86838,3.26505,0.97098,6.416e-05,6.416e-05,6.416e-05
6,39.5788,1.01102,3.04367,1.1028,0.00704,1,0.22344,0.11296,0.84087,3.15883,0.92326,7.525e-05,7.525e-05,7.525e-05
7,46.0898,0.94796,2.92649,1.0381,0.00704,1,0.32371,0.20169,0.86657,3.09596,0.92651,8.436e-05,8.436e-05,8.436e-05
8,52.5228,0.87553,2.8618,0.97088,0.00704,1,0.42956,0.30059,0.85642,3.04796,0.9196,9.149e-05,9.149e-05,9.149e-05
9,58.9418,0.86703,2.74099,0.97283,0.00704,1,0.7204,0.5129,0.84094,2.94295,0.90059,9.664e-05,9.664e-05,9.664e-05
10,65.7153,0.79719,2.48825,0.87803,0.00704,1,0.88481,0.65173,0.82158,2.82532,0.86109,9.981e-05,9.981e-05,9.981e-05
11,72.0826,0.73591,2.32398,0.86024,0.00704,1,0.92792,0.69874,0.78141,2.79834,0.85247,0.000101,0.000101,0.000101
12,78.5018,0.74888,2.24603,0.86826,0.00704,1,0.96686,0.72415,0.74652,2.77062,0.83837,0.00010021,0.00010021,0.00010021
13,85.3501,0.77253,2.12308,0.87305,0.00704,1,0.9715,0.71715,0.73387,2.76015,0.83618,9.744e-05,9.744e-05,9.744e-05
14,92.1582,0.72845,1.97453,0.83945,0.00704,1,0.9715,0.7347,0.73848,2.75157,0.84035,9.269e-05,9.269e-05,9.269e-05
15,98.4866,0.71414,1.91228,0.86081,0.00704,1,0.969,0.71209,0.75689,2.74356,0.84436,8.596e-05,8.596e-05,8.596e-05
16,104.775,0.65113,1.78874,0.85855,0.00704,1,0.9665,0.71153,0.76185,2.73286,0.84655,7.725e-05,7.725e-05,7.725e-05
17,111.588,0.68775,1.7337,0.86632,0.00704,1,0.95971,0.69263,0.76556,2.71959,0.84291,6.656e-05,6.656e-05,6.656e-05
